question_English,answer_English,question_Hindi,answer_Hindi
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended for Completion, and Project Status of the Project Village Asawa-Potanga in water supply scheme in Barkagaon, Under the Jurisdication of Barkagaon?","The water supply action plan in the village Aswa-Potanga Project Involves The Allocation of Funds for Development in Barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to water supply action plan in Village Aswa-Potanga.The recommended Amount for the Project is 66,493,000, with an anticipated completion year of 2020. Currently, the project status is reported as complete.","ग्राम असवा-पोटंगा में जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","ग्राम असवा-पोटंगा में जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य ग्राम असवा-पोटंगा में जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 66,493,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2020। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, amount recommended, year recommended for completion, and project status of the project ग्राम गरशुल्ला-जरजरा में जलापूर्ति कार्य योजना in Barkagaon, under the jurisdiction of बड़कागांव?","The Water Supply Action Plan Involves The Allocation of Funds for Development in Barkagaon, under the Jurisdiction of Barkagaon.The proposed project aims to Water Supply Action Scheme in Gram Garashulla-Jajra.The recommended Amount for the Project is 78,604,000, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","ग्राम गरशुल्ला-जरजरा में जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","ग्राम गरशुल्ला-जरजरा में जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य ग्राम गरशुल्ला-जरजरा में जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 78,604,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project Church Rural Pipe Line Pipe Line Pap Lawy Practice in Churchuchu, in Churchuchu, in Churchuchu, in Western Western Churchu?","The Churchu Western Rural Pipeline Water Supply Action Scheme Project Involves The Allocation of Funds for Development in Churchu, under the jurisdiction of Mandu.The proposed project aims to Churchu Rural Pipeline Water Supply Action Scheme in Western.The recommended Amount for the Project is 350,673,000, with an anticipated completion year of 2021. Currently, the project status is reported as complete.","चुरचू पश्चिमी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","चुरचू पश्चिमी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के चर्च यू यू में हो रहा है। प्रस्तुत परियोजना का उद्देश्य चुरचू पश्चिमी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 350,673,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2021। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project Churchu Eastern Rural Pipe Line Pipe Line Papline Action in Churchuchu, in Churchuchu, in Churchuchu?","The Churchu Eastern Rural Pipeline Water Supply Action Scheme Project Involves The Allocation of Funds for Development in Churchu, under the jurisdiction of Mandu.The proposed project aims to Churchu Rural Pipeline Water Supply Action Scheme in Eastern.The recommended Amount for the Project is 122,515,000, with an anticipated completion year of 2022. Currently, the project status is reported as complete.","चुरचू पूर्वी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","चुरचू पूर्वी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के चर्च यू यू में हो रहा है। प्रस्तुत परियोजना का उद्देश्य चुरचू पूर्वी में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 122,515,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2022। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, vidhan Sabha, mandal, amount recommended, year recommended for completion, and project status of the project of the project haisalang and other villages in the rural pipelines in other villages and in other villages, the water supply action scheme in dadi, of the Judor Prof.","In the Heslang legi and other villages, rural pipeline water supply action scheme project involves the allocation of funds for development in dadi, under the jurisdiction of Mandu.The proposed project aims to Heslang Water Supply Action Scheme in Tangi and other villages.The recommended Amount for the Project is 185,512,000, with an anticipated completion year of 2023. Currently, the project status is reported as complete.","हेसालांग टांगी एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","हेसालांग टांगी एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन मांडू क्षेत्र के बनना में हो रहा है। प्रस्तुत परियोजना का उद्देश्य हेसालांग टांगी एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 185,512,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the project description, fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated for Completion, and Project Status of the Project Nation and Rural Pipe Line in other villages, in the water supply scheme in Jurkagaon, Under The Jerkagaon. Aon?","In the Nayatand and other villages, rural pipeline water supply action scheme project involves the allocation of funds for development in barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to new and other villages in rural pipeline water supply action scheme.The recommended Amount for the Project is 67,218,000, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","नयाटांड एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","नयाटांड एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य नयाटांड एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 67,218,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recommended For Completion, and Project Status of the Project of the Project Swachh Bharat Mission under Swachh Bharat Mission, 7000 I.H. HH 0S and Chapakal Marmati work in BARKANAGON in BARKANA Diction of Barkagaon?","Under the Swachh Bharat Mission, 7000 IHHLS and Chapakal repair work project involves the allocation of funds for development in barkagaon, under the jurisdiction of Barkagaon.The proposed project aims to 7000 IHHLS and Chapakal repair work under Swachh Bharat Mission.The recommended Amount for the Project is 54,248,000, with an anticipated completion year of 2023. Currently, the project status is reported as complete.","स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के बरकागांव में हो रहा है। प्रस्तुत परियोजना का उद्देश्य स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य है। परियोजना के लिए सिफारिश की गई राशि 54,248,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated For Completion, and Project Status of the Project Bundu and other villages in rural pipe line water supply scheme in KEREDARI AIS KEREDARI AIN ?","In the Bundu and other villages, rural pipeline water supply action scheme project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to rural pipeline water supply action scheme in Bundu and other villages.The recommended Amount for the Project is 55,980,000, with an anticipated completion year of 2023. Currently, the project status is reported as ongoing.","बुण्डु एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","बुण्डु एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य बुण्डु एवं अन्य ग्रामों में ग्रामीण पाईप लाईन जलापूर्ति कार्य योजना है। परियोजना के लिए सिफारिश की गई राशि 55,980,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को चल रही है के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommended, Year Recomminated For Completion, and Project Status of the Project of the Project Swachh Bharat Mission under 7000 I. HH 0S and Chapakal Marmati work in Kitakal Marmati work in Kindakal Marmati. ICTION of Barkagaon?","Under the Swachh Bharat Mission, 7000 IHHLS and Chapakal repair work project involves the allocation of funds for development in keredari, under the jurisdiction of Barkagaon.The proposed project aims to 7000 IHHLS and Chapakal repair work under Swachh Bharat Mission.The recommended Amount for the Project is 54,248,000, with an anticipated completion year of 2023. Currently, the project status is reported as complete.","स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य परियोजना में विकास के लिए धन का आवंटन बड़कागांव क्षेत्र के स्वाद में हो रहा है। प्रस्तुत परियोजना का उद्देश्य स्वच्छ भारत मिशन के तहत 7000 आई0एच0एच0एल0एस0 एवं चापाकल मरम्मती कार्य है। परियोजना के लिए सिफारिश की गई राशि 54,248,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
"What is the Project Description, Fund, Vidhan Sabha, Mandal, Amount Recommented, Year Recommended for Completion, and Project Status of the Project of the Project Kotkamdag block.(Four) in katkamdag, under the jurisdiction of hazaribagh?","The construction of deep boring at the rehabilitation site located in Bandi village under the Katakamdag block.(Four) Project involves the allocation of funds for development in katkamdag, under the jurisdiction of hazaribagh.The proposed project aims to construction of deep boring at the rehabilitation site located in Bandi village under Kaktamdag block.(Four).The recommended Amount for the Project is 1,890,000, with an anticipated completetion year of 2023. Currently, the project status is reported as complete.","कटकमदाग प्रखण्ड अन्तर्गत बेंदी ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग का निर्माण। (चार अद्द) परियोजना का परियोजना विवरण, धन, विधान सभा, मंडल, अनुशंसित राशि, पूरा करने के लिए अनुशंसित वर्ष और परियोजना की स्थिति क्या है?","कटकमदाग प्रखण्ड अन्तर्गत बेंदी ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग का निर्माण। (चार अद्द) परियोजना में विकास के लिए धन का आवंटन Hazaribagh क्षेत्र के बोरी में हो रहा है। प्रस्तुत परियोजना का उद्देश्य कटकमदाग प्रखण्ड अन्तर्गत बेंदी ग्राम स्थित पुनर्वास स्थल पर डीप बोरिंग का निर्माण। (चार अद्द) है। परियोजना के लिए सिफारिश की गई राशि 1,890,000 है, जिसका पूरा होने का अनुमानित वर्ष है 2023। वर्तमान में, परियोजना को पूर्ण के रूप में रिपोर्ट किया जा रहा है।"
